longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.38,36.55,31,2342,439.0,1411,465,3.017,72000,INLAND
-121.97,37.44,17,127,28.0,219,22,4.5179,112500,<1H OCEAN
-116.87,32.72,13,3268,491.0,1431,503,5.7652,259900,<1H OCEAN
-118.28,33.99,49,2174,481.0,1861,484,1.7159,95000,<1H OCEAN
-121.28,38.68,14,11442,2690.0,6068,2435,2.6016,121200,INLAND
-118.01,34.15,52,2234,472.0,986,439,3.9125,265500,INLAND
-116.98,32.75,18,1519,369.0,802,347,2.9886,170800,<1H OCEAN
-121.65,36.67,52,2351,459.0,1169,439,2.8924,169600,<1H OCEAN
-118.23,34.16,31,3105,582.0,1359,547,5.1718,429100,<1H OCEAN
-118.4,34.1,27,3979,510.0,1351,520,15.0001,500001,<1H OCEAN
-117.94,34.04,36,1431,354.0,1367,334,3.5592,160200,<1H OCEAN
-118.01,33.85,29,3061,612.0,2396,640,4.6326,195200,<1H OCEAN
-122.67,38.44,29,2551,448.0,1165,456,4.3587,196400,<1H OCEAN
-117.46,34.14,10,714,131.0,381,119,0.8926,116100,INLAND
-121.42,38.57,38,1878,338.0,710,342,3.7731,161400,INLAND
-118.4,34.03,36,1831,296.0,871,269,8.1484,500001,<1H OCEAN
-122.77,38.33,32,2054,324.0,843,306,4.5875,290700,<1H OCEAN
-117.86,33.62,23,3166,411.0,1092,345,7.9367,500001,<1H OCEAN
-123.53,38.93,38,1706,355.0,506,211,2.5625,165600,NEAR OCEAN
-121.43,38.54,42,3321,688.0,1346,658,2.4618,101300,INLAND
-118.36,33.81,25,9042,2022.0,4458,1944,4.5592,378800,<1H OCEAN
-124.23,40.81,52,1112,209.0,544,172,3.3462,50800,NEAR OCEAN
-121.26,38.7,9,7812,1348.0,3275,1178,4.3826,146600,INLAND
-122.48,38.51,49,1977,393.0,741,339,3.1312,247600,INLAND
-121.61,36.69,19,9899,2617.0,11272,2528,2.0244,118500,<1H OCEAN
-121.01,37.7,12,9148,1906.0,4656,1853,3.2447,142200,INLAND
-121.89,37.67,19,2034,288.0,852,295,6.5285,300400,INLAND
-120.64,35.15,7,7922,1442.0,2863,1197,4.849,275000,<1H OCEAN
-119.78,36.37,41,831,149.0,443,146,3.1406,100000,INLAND
-118.33,34.19,45,1505,347.0,799,319,3.138,217000,<1H OCEAN
-117.66,35.62,11,5897,1138.0,2728,1072,4.15,85700,INLAND
-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,371000,NEAR BAY
-119.69,34.43,37,2801,497.0,1150,476,5.8311,387700,<1H OCEAN
-118.43,34.21,17,3667,1209.0,2636,1054,2.425,175500,<1H OCEAN
-121.85,37.26,16,1816,241.0,793,234,6.8194,291200,<1H OCEAN
-122.67,38.33,4,8072,1606.0,4323,1475,3.9518,220300,<1H OCEAN
-121.9,37.3,39,3627,666.0,1531,635,4.537,345900,<1H OCEAN
-117.93,34.04,30,1336,239.0,905,253,4.8854,178100,<1H OCEAN
-118.42,34.27,33,937,216.0,1216,212,3.3214,131300,<1H OCEAN
-118.06,33.82,24,3983,675.0,1568,638,4.6458,213400,<1H OCEAN
-118.99,35.37,36,832,198.0,814,174,1.4773,57400,INLAND
-117.23,32.79,23,2578,665.0,989,622,3.5484,238000,NEAR OCEAN
-119.15,36.29,18,1435,,657,254,2.4281,72500,INLAND
-118.34,34.16,44,1717,391.0,848,353,3.6111,254500,<1H OCEAN
-117.99,33.66,29,1330,293.0,613,236,4.6591,353100,<1H OCEAN
-122.3,37.9,38,2263,522.0,1027,509,3.5125,224200,NEAR BAY
-120.69,36.84,18,902,195.0,771,174,2.2083,55000,INLAND
-116.58,33.09,36,992,224.0,334,126,3.0089,134400,INLAND
-122.2,37.88,36,1065,160.0,398,155,7.7736,378100,NEAR BAY
-122.25,37.77,52,1038,220.0,482,215,3.1771,210200,NEAR BAY
-118.32,33.84,42,1486,420.0,897,377,1.6228,376100,<1H OCEAN
-122.06,40.55,17,3057,577.0,1497,556,3.5189,101000,INLAND
-122.43,37.73,52,1142,224.0,494,206,5.0602,298900,NEAR BAY
-117.26,32.81,25,2076,586.0,1060,554,2.8421,227800,NEAR OCEAN
-116.26,33.72,10,9404,1827.0,3208,1283,3.1086,105800,INLAND
-121.8,39.33,30,1019,192.0,501,185,2.5259,81300,INLAND
-117.91,34.02,22,6269,,5587,1251,3.8201,136200,<1H OCEAN
-118.08,33.76,26,1967,577.0,692,538,1.6111,54300,<1H OCEAN
-121.88,39.74,12,14631,3298.0,7517,3262,1.6785,153100,INLAND
-121.45,38.58,44,2314,415.0,796,388,3.4914,153900,INLAND
-119.04,35.36,40,1533,312.0,771,306,3.0435,69500,INLAND
-122.42,37.62,43,2367,409.0,1141,400,4.8295,319000,NEAR OCEAN
-122.3,37.88,45,453,146.0,749,137,1.475,187500,NEAR BAY
-117.97,33.76,18,1862,399.0,1301,369,3.1771,194000,<1H OCEAN
-118.23,33.89,16,5003,1180.0,4145,1159,2.1389,133400,<1H OCEAN
-117.88,33.76,37,2988,677.0,2354,666,3.4345,235500,<1H OCEAN
-118.11,33.92,32,1016,190.0,729,177,4.3,151300,<1H OCEAN
-121.99,36.98,25,2113,422.0,1365,439,4.6484,234600,NEAR OCEAN
-118.78,34.16,9,30405,4093.0,12873,3931,8.0137,399200,NEAR OCEAN
-122.33,37.93,34,2326,471.0,1356,441,2.3475,90300,NEAR BAY
-122.3,37.9,37,2125,489.0,912,462,2.9219,217200,NEAR BAY
-121.35,38.6,27,4314,611.0,1662,575,5.0997,170100,INLAND
-122.08,37.6,10,3046,678.0,2056,628,3.9022,191700,NEAR BAY
-116.76,33.46,6,1251,268.0,544,216,3.0694,173400,INLAND
-118.36,34.1,52,1096,247.0,423,230,3.0179,500001,<1H OCEAN
-118.49,34.03,32,3851,900.0,1456,836,4.5208,442100,<1H OCEAN
-122.27,37.85,52,1228,293.0,648,303,2.1202,155500,NEAR BAY
-118.18,33.77,49,2297,759.0,1105,629,1.8388,175000,NEAR OCEAN
-119.06,36.1,21,1344,249.0,868,221,2.5893,63600,INLAND
-122.03,37.55,22,9167,1373.0,4319,1404,6.992,284800,NEAR BAY
-118.02,34.15,44,2419,437.0,1045,432,3.875,280800,INLAND
-119.78,36.82,22,4241,1147.0,1929,971,1.7708,53500,INLAND
-117.94,33.86,36,2824,493.0,1394,507,4.6477,194700,<1H OCEAN
-116.93,32.83,21,1283,278.0,684,289,2.3203,163500,<1H OCEAN
-121.86,37.39,17,1777,328.0,1235,329,5.4225,258100,<1H OCEAN
-117.22,32.82,35,756,135.0,423,136,3.5234,183900,NEAR OCEAN
-118.42,34.24,17,2049,548.0,2243,541,2.525,163700,<1H OCEAN
-121.97,38.04,38,2505,554.0,1595,498,2.5833,83500,INLAND
-117.65,34.1,30,1461,341.0,1014,345,2.4667,106000,INLAND
-121.05,39.23,20,1634,374.0,1053,390,1.5313,154900,INLAND
-120.45,34.64,17,1226,277.0,484,224,3.2167,112500,NEAR OCEAN
-117.62,33.43,23,4052,955.0,1950,859,4.0647,240600,NEAR OCEAN
-121.79,37.67,26,2163,339.0,947,346,6.0797,211000,INLAND
-118.2,33.79,47,2549,626.0,1388,606,3.0135,192700,NEAR OCEAN
-119.03,35.36,41,2551,594.0,1342,595,1.9671,76800,INLAND
-116.89,33.73,15,2094,316.0,937,277,5.3623,201300,INLAND
-122.31,37.56,52,2351,494.0,1126,482,3.9688,356900,NEAR OCEAN
-122.73,38.43,15,3265,690.0,1629,629,3.7132,167600,<1H OCEAN
-117.13,33.89,4,1611,239.0,275,84,3.5781,244400,INLAND
-118.28,34.05,44,1273,474.0,1754,460,1.6037,275000,<1H OCEAN
-117.91,33.84,25,1021,252.0,975,258,3.125,168100,<1H OCEAN
-121.84,36.62,26,32,8.0,27,10,2.225,150000,<1H OCEAN
-120.64,37.38,21,3157,637.0,2268,620,2.567,70400,INLAND
-121.82,37.32,10,2506,623.0,2634,622,3.135,231400,<1H OCEAN
-122.1,37.61,35,2361,458.0,1727,467,4.5281,173600,NEAR BAY
-121.29,36.9,17,3610,593.0,1734,559,5.8324,374200,INLAND
-118.08,33.85,22,1055,204.0,682,216,6.0,191300,<1H OCEAN
-118.38,34.06,31,4345,1158.0,1987,1070,2.8233,310000,<1H OCEAN
-122.11,37.4,16,1994,489.0,1173,472,4.1875,266400,NEAR BAY
-118.32,34.06,36,3239,722.0,1383,612,4.5918,337000,<1H OCEAN
-118.56,34.21,13,8327,1849.0,4126,1773,3.7313,189800,<1H OCEAN
-117.06,33.14,27,3819,674.0,2447,717,3.8185,137200,<1H OCEAN
-118.4,33.87,45,2093,497.0,842,472,6.3231,500001,<1H OCEAN
-118.34,34.07,52,3175,1057.0,1594,997,3.1766,225000,<1H OCEAN
-118.42,34.18,40,1013,150.0,449,166,5.7143,382400,<1H OCEAN
-117.15,32.81,34,1629,318.0,900,282,3.1458,178300,NEAR OCEAN
-117.72,34.07,33,4100,740.0,2580,730,3.7321,134200,INLAND
-118.18,34.05,41,616,196.0,814,180,3.3333,115100,<1H OCEAN
-122.01,36.97,35,1605,392.0,743,382,2.5368,240000,NEAR OCEAN
-118.32,34.07,52,2156,306.0,861,311,8.8062,500001,<1H OCEAN
-118.0,33.76,29,1982,503.0,1426,502,3.0263,194200,<1H OCEAN
-117.92,33.75,19,1920,471.0,1413,432,4.0313,147500,<1H OCEAN
-121.94,37.93,16,3421,427.0,1341,428,7.5695,320400,INLAND
-121.55,39.51,39,1551,353.0,684,310,2.0357,57600,INLAND
-118.1,33.84,36,1915,316.0,850,319,4.7222,225800,<1H OCEAN
-122.0,37.31,28,3811,585.0,1795,581,7.8383,372700,<1H OCEAN
-118.25,33.86,26,3022,476.0,1852,452,6.0531,186400,<1H OCEAN
-122.72,38.44,48,707,166.0,458,172,3.1797,140400,<1H OCEAN
-120.99,37.66,30,1718,395.0,914,400,1.933,107000,INLAND
-118.08,33.86,17,2259,383.0,1378,386,5.8733,287000,<1H OCEAN
-121.49,38.52,37,1902,413.0,955,384,3.1014,96800,INLAND
-118.83,34.18,23,5647,786.0,2050,738,6.3586,348300,<1H OCEAN
-117.19,34.27,16,7961,1147.0,879,280,5.2146,255200,INLAND
-118.28,33.93,43,269,74.0,295,79,2.2969,90600,<1H OCEAN
-119.68,37.19,10,3113,589.0,1508,512,2.8167,96100,INLAND
-117.12,32.57,35,1450,256.0,930,286,2.6715,133300,NEAR OCEAN
-118.35,34.32,52,102,29.0,54,32,1.9875,191700,<1H OCEAN
-117.9,33.74,24,1435,494.0,3171,504,3.0833,151700,<1H OCEAN
-121.92,37.72,4,7477,1576.0,2937,1506,5.1437,299400,<1H OCEAN
-121.02,37.69,19,3814,790.0,2219,804,3.5208,145000,INLAND
-118.53,34.19,32,2618,692.0,1961,633,2.625,192300,<1H OCEAN
-118.13,34.02,40,2988,690.0,2144,667,2.3359,189300,<1H OCEAN
-120.4,38.06,12,1430,310.0,517,240,2.6544,128100,INLAND
-115.91,33.36,15,459,95.0,160,73,0.922,67500,INLAND
-118.3,34.26,37,2824,633.0,1619,573,3.5568,184500,<1H OCEAN
-117.94,33.92,28,639,179.0,1062,169,3.0588,145200,<1H OCEAN
-117.22,34.12,34,2457,499.0,1538,507,2.809,82500,INLAND
-116.43,33.81,8,6710,1343.0,2069,781,3.5223,115100,INLAND
-117.09,32.76,29,1650,496.0,882,445,2.2287,140000,NEAR OCEAN
-122.33,37.95,45,1585,329.0,981,373,3.0313,135800,NEAR BAY
-122.38,37.71,47,1088,190.0,558,166,4.2708,207100,NEAR BAY
-117.88,33.7,18,2135,373.0,1464,405,5.4836,225800,<1H OCEAN
-121.8,37.23,18,2581,358.0,1284,377,6.7385,272400,<1H OCEAN
-118.9,35.26,31,6145,1492.0,5666,1457,1.9066,54600,INLAND
-118.29,33.75,37,1319,292.0,766,285,2.7031,218900,NEAR OCEAN
-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,NEAR BAY
-120.11,39.24,21,3005,574.0,385,150,3.1193,153300,INLAND
-120.95,37.57,29,1179,249.0,672,243,3.1125,154800,INLAND
-121.85,37.26,16,2312,303.0,1158,295,7.4323,311800,<1H OCEAN
-120.58,37.36,33,3564,716.0,2603,696,2.2179,67500,INLAND
-117.98,34.02,32,2945,651.0,2044,652,3.1979,183900,<1H OCEAN
-117.16,32.89,5,8576,1952.0,5006,1827,4.3598,189100,<1H OCEAN
-117.92,33.87,33,1597,,1888,423,3.055,157800,<1H OCEAN
-119.16,34.27,24,1824,331.0,1049,320,5.9181,221100,NEAR OCEAN
-118.15,34.17,36,930,280.0,1024,300,1.0846,146400,<1H OCEAN
-118.3,34.0,52,1296,246.0,853,238,3.05,111600,<1H OCEAN
-117.08,32.93,5,14944,2490.0,6600,2407,6.0857,308300,<1H OCEAN
-118.16,34.06,27,1675,274.0,785,275,5.828,301100,<1H OCEAN
-117.13,32.9,15,2785,644.0,1798,630,3.7156,175200,<1H OCEAN
-122.34,40.51,16,2247,502.0,1206,463,1.9946,119200,INLAND
-117.88,33.87,35,1919,349.0,1302,345,5.6409,190900,<1H OCEAN
-117.4,33.85,9,7538,1125.0,3450,1077,5.4625,223600,INLAND
-121.3,38.26,19,1403,276.0,901,290,3.215,104600,INLAND
-118.39,34.09,41,730,126.0,230,125,4.3214,500001,<1H OCEAN
-122.21,37.77,43,1017,328.0,836,277,2.2604,100000,NEAR BAY
-117.59,33.41,17,2248,448.0,878,423,5.1298,246000,NEAR OCEAN
-117.58,34.11,14,11635,2055.0,6443,2009,4.7547,157600,INLAND
-120.84,38.81,11,1280,286.0,609,248,3.1635,132600,INLAND
-116.85,34.25,5,5806,1030.0,569,219,4.0132,163100,INLAND
-118.42,34.18,30,1323,353.0,856,333,3.3594,202200,<1H OCEAN
-117.71,34.09,36,2637,476.0,1385,483,4.1739,158700,INLAND
-118.47,34.04,32,2909,748.0,1310,706,4.516,350000,<1H OCEAN
-121.91,36.62,52,1431,300.0,657,293,3.2865,240100,<1H OCEAN
-118.99,35.39,52,2805,573.0,1325,522,2.5083,70100,INLAND
-121.96,36.97,23,4324,1034.0,1844,875,3.0777,263800,NEAR OCEAN
-119.88,36.81,30,2288,474.0,1435,425,1.3221,61200,INLAND
-119.06,34.24,21,7436,984.0,2982,988,7.6775,391200,<1H OCEAN
-118.35,34.05,44,1856,493.0,1374,469,2.0984,158000,<1H OCEAN
-119.59,36.52,35,990,192.0,674,178,3.3214,101600,INLAND
-114.57,33.57,20,1454,326.0,624,262,1.925,65500,INLAND
-119.06,34.36,52,1409,359.0,981,304,2.7951,199300,<1H OCEAN
-118.29,33.98,44,2261,555.0,1348,455,1.9125,97200,<1H OCEAN
-122.44,37.76,30,5089,1210.0,1935,1139,4.6053,386100,NEAR BAY
-119.8,36.78,50,1818,374.0,737,338,2.2614,73000,INLAND
-121.62,39.13,41,1147,243.0,583,239,2.2431,63400,INLAND
-121.24,38.68,20,1402,236.0,676,236,3.7426,135500,INLAND
-118.12,33.84,37,2143,382.0,1047,377,4.4423,216000,<1H OCEAN
-116.99,32.79,26,3623,703.0,1609,669,3.744,165800,<1H OCEAN
-122.02,36.98,21,1484,394.0,984,380,2.1734,187500,NEAR OCEAN
-118.43,33.98,19,8324,1590.0,2927,1538,7.5426,351700,<1H OCEAN
-120.38,37.99,36,2864,603.0,1155,565,2.3571,113400,INLAND
-118.16,33.88,30,1694,398.0,1181,383,2.9779,169500,<1H OCEAN
-117.81,34.01,12,9197,1642.0,4332,1554,4.9589,282100,<1H OCEAN
-117.8,33.68,8,2032,349.0,862,340,6.9133,274100,<1H OCEAN
-121.33,37.97,38,3166,575.0,1351,561,3.5404,91600,INLAND
-117.98,33.68,24,4177,,1704,606,6.2473,281900,<1H OCEAN
-122.82,38.39,22,1288,243.0,593,220,3.625,233700,<1H OCEAN
-117.07,33.15,15,2994,522.0,1231,503,3.2024,180400,<1H OCEAN
-122.19,37.76,38,1493,370.0,1144,351,0.7683,81800,NEAR BAY
-120.83,39.27,14,3338,608.0,1373,562,3.67,160100,INLAND
-121.39,38.69,38,300,47.0,154,51,4.0909,108300,INLAND
-122.08,37.59,16,1816,365.0,1367,355,4.235,156300,NEAR BAY
-117.13,32.96,15,2267,292.0,1180,289,6.712,240200,<1H OCEAN
-121.47,38.57,52,438,103.0,176,99,3.0217,200000,INLAND
-119.83,34.43,31,798,346.0,699,301,2.1417,205000,NEAR OCEAN
-121.57,39.1,28,1442,333.0,832,286,1.8413,62300,INLAND
-121.97,37.36,34,884,153.0,534,154,6.0116,271200,<1H OCEAN
-117.88,33.83,25,1785,248.0,750,251,6.8407,266700,<1H OCEAN
-118.47,34.21,34,2512,603.0,1805,584,2.9735,220000,<1H OCEAN
-118.4,34.16,45,1176,250.0,471,228,2.3333,364700,<1H OCEAN
-119.97,38.94,26,1485,334.0,406,180,1.9667,84600,INLAND
-119.36,35.55,29,510,84.0,236,73,2.7,125000,INLAND
-117.66,34.1,37,1971,345.0,939,358,3.4634,145300,INLAND
-118.28,33.92,39,1472,302.0,1036,318,3.0,110000,<1H OCEAN
-117.16,32.73,52,1863,559.0,906,493,1.9203,195800,NEAR OCEAN
-118.05,34.06,45,531,164.0,722,166,2.1406,162500,<1H OCEAN
-119.13,34.19,16,6389,1330.0,6242,1340,4.0222,206800,NEAR OCEAN
-117.66,34.06,39,1405,339.0,1489,336,1.608,91800,INLAND
-118.17,34.09,36,3066,797.0,3097,780,2.5523,156500,<1H OCEAN
-118.34,34.18,45,3566,701.0,1601,653,3.8668,232000,<1H OCEAN
-121.46,38.57,52,893,159.0,367,160,3.2386,213200,INLAND
-117.94,33.87,46,2066,450.0,1275,448,3.9375,187000,<1H OCEAN
-118.11,34.16,52,2489,437.0,1101,438,4.2065,320300,INLAND
-120.02,38.91,22,2138,493.0,829,330,2.2056,107200,INLAND
-118.1,33.99,36,1529,290.0,1271,287,3.6875,175200,<1H OCEAN
-117.87,33.83,27,2287,,1140,351,5.6163,231000,<1H OCEAN
-118.49,34.18,31,3073,674.0,1486,684,4.8984,311700,<1H OCEAN
-122.63,38.25,20,3460,602.0,1707,568,3.7115,181900,<1H OCEAN
-117.9,33.8,27,2176,442.0,1440,418,4.375,212500,<1H OCEAN
-117.8,33.76,27,2655,345.0,1017,335,6.9014,366800,<1H OCEAN
-122.71,38.45,39,2739,573.0,1223,569,2.9663,185400,<1H OCEAN
-117.1,33.15,5,3159,685.0,1398,581,3.1467,161100,<1H OCEAN
-117.43,33.91,15,14281,2511.0,7540,2245,4.3222,138000,INLAND
-117.92,34.05,36,2241,419.0,1743,448,4.6587,161900,<1H OCEAN
-121.51,38.49,21,4426,790.0,1856,761,4.1,158300,INLAND
-122.19,37.8,48,1694,259.0,610,238,4.744,257300,NEAR BAY
-119.89,36.64,34,1422,237.0,716,222,2.975,90000,INLAND
-122.29,37.89,52,2269,380.0,1004,371,5.1696,261400,NEAR BAY
-122.45,37.78,52,2686,606.0,1392,578,4.0,355300,NEAR BAY
-115.4,32.7,19,583,113.0,531,134,1.6838,95800,INLAND
-118.31,34.17,12,3188,931.0,2118,850,3.1823,218300,<1H OCEAN
-118.31,34.02,52,1832,441.0,1186,420,1.2434,98400,<1H OCEAN
-117.33,34.06,42,530,123.0,390,124,1.0469,67000,INLAND
-117.07,32.73,18,2968,656.0,1149,581,2.6452,154200,NEAR OCEAN
-122.0,36.93,51,1616,374.0,608,302,3.1932,400000,NEAR OCEAN
-118.58,34.21,27,2209,353.0,1034,344,4.7125,250900,<1H OCEAN
-117.32,34.19,6,1068,182.0,999,188,4.7222,109000,INLAND
-120.84,37.5,47,2310,484.0,1126,447,2.2083,97300,INLAND
-120.87,38.37,28,3998,765.0,1614,698,2.8125,113400,INLAND
-118.43,34.17,33,1679,404.0,933,412,2.6979,266000,<1H OCEAN
-122.32,37.55,46,1437,266.0,607,263,4.8068,369700,NEAR OCEAN
-123.84,39.83,19,1461,340.0,515,227,1.5278,145800,NEAR OCEAN
-117.22,32.81,24,730,196.0,335,203,3.5078,362500,NEAR OCEAN
-118.02,33.95,36,1681,329.0,964,311,4.108,181200,<1H OCEAN
-120.85,37.77,20,651,157.0,421,151,2.0833,77300,INLAND
-122.5,37.75,44,1739,343.0,872,330,2.9632,286300,NEAR OCEAN
-117.32,33.99,27,5464,850.0,2400,836,4.711,133500,INLAND
-117.39,33.96,49,2527,461.0,1344,451,4.0833,114400,INLAND
-119.22,34.15,32,3152,596.0,3490,526,2.725,450000,NEAR OCEAN
-121.42,37.75,33,1999,368.0,1061,390,3.5242,121400,INLAND
-119.79,36.32,19,3252,614.0,1971,607,3.0667,75800,INLAND
-120.32,37.91,16,108,18.0,54,22,4.375,100000,INLAND
-120.04,36.96,23,2126,506.0,2091,491,1.3713,51800,INLAND
-118.32,33.91,35,881,159.0,605,170,3.6654,184500,<1H OCEAN
-122.24,37.82,52,3665,517.0,1470,520,6.155,398600,NEAR BAY
-120.39,37.96,10,2554,501.0,922,439,2.1094,164000,INLAND
-120.76,37.58,35,1395,264.0,756,253,3.6181,178600,INLAND
-122.5,37.6,35,2197,369.0,971,326,4.25,241700,NEAR OCEAN
-116.56,33.05,15,1985,361.0,536,209,4.125,148200,INLAND
-118.16,33.77,29,3078,786.0,1460,736,2.875,232500,NEAR OCEAN
-116.47,33.78,27,1781,441.0,759,340,3.3162,113600,INLAND
-122.18,37.89,18,4845,735.0,1634,734,8.1489,499000,NEAR BAY
-118.41,33.93,22,2514,605.0,1225,568,4.1818,339700,<1H OCEAN
-119.3,36.31,16,2234,357.0,1150,361,4.2778,97300,INLAND
-119.2,36.28,22,2295,508.0,1654,478,1.684,65900,INLAND
-117.91,33.61,40,2790,531.0,952,424,4.8,500001,<1H OCEAN
-118.29,34.01,40,885,312.0,799,221,1.1667,143800,<1H OCEAN
-120.96,37.66,15,2485,434.0,1296,434,3.8542,145200,INLAND
-117.96,33.93,15,2014,419.0,839,390,4.7446,175400,<1H OCEAN
-122.43,37.66,29,3541,786.0,2259,770,4.3039,278400,NEAR OCEAN
-117.76,34.08,37,2263,502.0,1677,522,2.9388,139200,INLAND
-122.35,40.56,16,2801,614.0,1695,563,1.9,81600,INLAND
-120.94,35.42,18,3418,686.0,970,453,3.7738,279400,NEAR OCEAN
-117.87,33.88,28,3333,752.0,2026,722,3.5667,190700,<1H OCEAN
-122.36,37.95,38,1042,289.0,773,248,2.7714,104700,NEAR BAY
-117.15,32.76,36,2644,674.0,1211,654,3.0445,214800,NEAR OCEAN
-117.61,34.04,8,4116,766.0,1785,745,3.1672,150200,INLAND
-121.53,38.48,5,27870,5027.0,11935,4855,4.8811,212200,INLAND
-116.99,32.85,32,5211,949.0,3025,948,4.0931,134200,<1H OCEAN
-122.22,37.77,52,391,128.0,520,138,1.6471,95000,NEAR BAY
-117.02,32.75,33,3296,537.0,1345,556,5.2835,217100,<1H OCEAN
-117.94,33.94,25,3250,546.0,1452,501,5.1084,303800,<1H OCEAN
-118.39,34.02,38,2521,647.0,1091,597,4.1296,322900,<1H OCEAN
-121.06,36.72,23,395,70.0,166,52,2.2132,100000,INLAND
-122.19,37.78,52,1026,180.0,469,168,2.875,160000,NEAR BAY
-117.24,32.81,33,1588,289.0,683,301,5.4103,332400,NEAR OCEAN
-117.27,34.16,32,2894,427.0,1151,446,6.2236,159700,INLAND
-118.34,34.06,52,1482,336.0,768,300,3.7167,327300,<1H OCEAN
